[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/views/search.html" [Client 10.0.0.33] [Length 1981] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:36 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=0" [Client 10.0.0.33] [Length 3124] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:37 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=14" [Client 10.0.0.33] [Length 882] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:39 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=15" [Client 10.0.0.33] [Length 543] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:40 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=16" [Client 10.0.0.33] [Length 868] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:42 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=17" [Client 10.0.0.33] [Length 558] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:44 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=18" [Client 10.0.0.33] [Length 838] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:46 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=19" [Client 10.0.0.33] [Length 555] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:48 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=20" [Client 10.0.0.33] [Length 545] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
[13/Jun/2025:15:01:50 +0000] - 200 200 - GET https qbt.dragnet.in "/api/v2/sync/maindata?rid=21" [Client 10.0.0.33] [Length 555] [Gzip -] [Sent-to qbittorrent] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "https://qbt.dragnet.in/"
